run_id,vars,clauses,reps,seed,split_var,fixed,force_unsat,simulate_ms,repetition,worker_rank,split_value,worker_sat,worker_compute_sec,nodes_visited,clause_checks,max_rss_kb,rep_global_sat
20260311_124829,40,180,20,7,1,0,0,0,0,1,0,0,3.137,2044179,278028310,11320,0
20260311_124829,40,180,20,7,1,0,0,0,0,2,1,0,4.50573,3053497,400392552,11168,0
20260311_124829,40,180,20,7,1,0,0,0,1,2,1,1,0.546125,389078,49425487,11296,1
20260311_124829,40,180,20,7,1,0,0,0,1,1,0,0,1.2784,914883,115376586,11320,1
20260311_124829,40,180,20,7,1,0,0,0,2,1,0,0,4.43954,3317985,436731714,11320,0
20260311_124829,40,180,20,7,1,0,0,0,2,2,1,0,5.22771,3852255,499958073,11296,0
20260311_124829,40,180,20,7,1,0,0,0,3,1,0,0,0.928308,629661,80768037,11320,0
20260311_124829,40,180,20,7,1,0,0,0,3,2,1,0,2.76571,1934607,254860663,11296,0
20260311_124829,40,180,20,7,1,0,0,0,4,2,1,1,1.64062,1116052,147581041,11296,1
20260311_124829,40,180,20,7,1,0,0,0,4,1,0,0,2.38628,1731427,221362683,11320,1
20260311_124829,40,180,20,7,1,0,0,0,5,2,1,0,1.45117,965827,121359796,11296,0
20260311_124829,40,180,20,7,1,0,0,0,5,1,0,0,1.60001,1091693,139905331,11320,0
20260311_124829,40,180,20,7,1,0,0,0,6,1,0,0,0.141978,107157,13720710,11320,0
20260311_124829,40,180,20,7,1,0,0,0,6,2,1,0,0.30308,231859,29814486,11296,0
20260311_124829,40,180,20,7,1,0,0,0,7,1,0,1,0.343075,242554,33176643,11320,1
20260311_124829,40,180,20,7,1,0,0,0,7,2,1,1,0.685846,509325,65899895,11296,1
20260311_124829,40,180,20,7,1,0,0,0,8,2,1,0,1.97584,1416927,188702876,11296,0
20260311_124829,40,180,20,7,1,0,0,0,8,1,0,0,3.16949,2446217,323512043,11320,0
20260311_124829,40,180,20,7,1,0,0,0,9,1,0,1,0.131026,94377,12474970,11320,1
20260311_124829,40,180,20,7,1,0,0,0,9,2,1,0,0.393155,287561,38685950,11296,1
20260311_124829,40,180,20,7,1,0,0,0,10,1,0,0,1.18518,778803,100548633,11320,0
20260311_124829,40,180,20,7,1,0,0,0,10,2,1,0,2.41246,1602453,208780126,11296,0
20260311_124829,40,180,20,7,1,0,0,0,11,1,0,0,1.24313,766385,99630744,11320,0
20260311_124829,40,180,20,7,1,0,0,0,11,2,1,0,2.44974,1464959,197234403,11296,0
20260311_124829,40,180,20,7,1,0,0,0,12,1,0,0,0.425017,316661,40107379,11320,0
20260311_124829,40,180,20,7,1,0,0,0,12,2,1,0,0.609867,431269,54267455,11296,0
20260311_124829,40,180,20,7,1,0,0,0,13,2,1,0,3.18124,2241191,279757503,11296,0
20260311_124829,40,180,20,7,1,0,0,0,13,1,0,0,4.39994,2898613,400095470,11320,0
20260311_124829,40,180,20,7,1,0,0,0,14,2,1,0,2.78088,1933159,253708193,11296,0
20260311_124829,40,180,20,7,1,0,0,0,14,1,0,0,3.06773,2088689,269209917,11320,0
20260311_124829,40,180,20,7,1,0,0,0,15,2,1,0,1.90609,1209657,164104427,11296,0
20260311_124829,40,180,20,7,1,0,0,0,15,1,0,0,2.03733,1270511,173546558,11320,0
20260311_124829,40,180,20,7,1,0,0,0,16,2,1,0,0.919022,574567,75186647,11296,0
20260311_124829,40,180,20,7,1,0,0,0,16,1,0,0,1.63603,1022999,134919074,11320,0
20260311_124829,40,180,20,7,1,0,0,0,17,2,1,1,3.45887,2118459,287788918,11296,1
20260311_124829,40,180,20,7,1,0,0,0,17,1,0,0,4.72564,2861811,384400818,11320,1
20260311_124829,40,180,20,7,1,0,0,0,18,2,1,1,0.152929,98838,12050476,11296,1
20260311_124829,40,180,20,7,1,0,0,0,18,1,0,1,0.198518,129044,15663044,11320,1
20260311_124829,40,180,20,7,1,0,0,0,19,1,0,0,2.33494,1524011,200325447,11320,0
20260311_124829,40,180,20,7,1,0,0,0,19,2,1,0,2.36348,1524839,198347383,11296,0
